class,precision,recall,f1-score,support
member,0.6282009724473258,0.6600817438692098,0.6437468858993523,5872.0
casual,0.6378152785338415,0.6050955414012739,0.6210247349823321,5809.0
accuracy,0.6327369232086294,0.6327369232086294,0.6327369232086294,0.6327369232086294
macro avg,0.6330081254905836,0.6325886426352418,0.6323858104408422,11681.0
weighted avg,0.6329821987170432,0.6327369232086294,0.6324470849681845,11681.0
